# airline	from	to	codeshare	stops	equipment
# Date: 2009-12-07
3U	WXN	PEK		0	319
3U	XIC	CTU		0	320
3U	XIY	CKG		0	319
3U	XIY	CTU		0	319
3U	XMN	CSX		0	320
3U	XMN	CTU		0	319
3U	XNN	CKG		0	320
3U	XNN	CTU		0	319
3U	XUZ	CGQ		0	ERJ
3U	XUZ	CKG		0	ERJ
3U	XUZ	CTU		0	319
3U	XUZ	DLC		0	319
3U	YIH	CKG		0	320
3U	YIH	CTU		0	319
3Z	AET	FAI		0	PAG
3Z	AKP	AET		0	PAG
3Z	ARC	WBQ		0	PAG
3Z	BTT	AKP		0	PAG
3Z	EAA	FAI		0	PAG
3Z	FAI	BTT		0	PAG
3Z	FAI	EAA		0	PAG
3Z	FAI	FYU		0	PAG
3Z	FAI	LMA		0	PAG
3Z	FYU	VEE		0	PAG
3Z	LMA	FAI		0	PAG
3Z	VEE	ARC		0	PAG
3Z	WBQ	FAI		0	PAG
4A	CGP	CXB		0	DH8
4A	CGP	DAC		0	DH8
4A	CXB	CGP		0	DH8
4A	CXB	DAC		0	DH8
4A	DAC	CGP		0	DH8
4A	DAC	CXB		0	DH8
4A	DAC	JSR		0	DH8
4A	DAC	SPD		0	DH8
4A	JSR	DAC		0	DH8
4A	SPD	DAC		0	DH8
4C	ADZ	BOG		0	737
4C	APO	EOH		0	DH8
4C	AUA	BAQ		0	DH8
4C	AXM	BOG		0	DH8
4C	BAQ	AUA		0	DH8
4C	BAQ	BOG		0	DH8
4C	BAQ	CTG		0	DH8
4C	BAQ	CUR		0	DH8
4C	BAQ	MAR		0	DH8
4C	BAQ	MTR		0	DH8
4C	BAQ	PTY		0	DH8
4C	BAQ	VUP		0	DH8
4C	BGA	BOG		0	DH8
4C	BGA	CUC		0	DH8
4C	BGA	EOH		0	DH8
4C	BGA	EYP		0	DH8
4C	BOG	ADZ		0	737
4C	BOG	AXM		0	DH8
4C	BOG	BAQ		0	DH8
4C	BOG	BGA		0	DH8
4C	BOG	CLO		0	737
4C	BOG	CTG		0	737
4C	BOG	EYP		0	DH8
4C	BOG	FLA		0	DH8
4C	BOG	IBE		0	DH8
4C	BOG	LET		0	DH8
4C	BOG	MAR		0	DH8
4C	BOG	MDE		0	737
4C	BOG	MTR		0	DH8
4C	BOG	MZL		0	DH8
4C	BOG	NVA		0	DH8
4C	BOG	PEI		0	DH8
4C	BOG	PPN		0	DH8
4C	BOG	SMR		0	DH8
4C	BOG	UIB		0	DH8
4C	BOG	VVC		0	DH8
4C	CLO	BOG		0	737
4C	CLO	PEI		0	DH8
4C	CTG	BAQ		0	DH8
4C	CTG	BOG		0	737
4C	CTG	MAR		0	DH8
4C	CTG	MTR		0	DH8
4C	CTG	PTY		0	DH8
4C	CUC	BGA		0	DH8
4C	CUR	BAQ		0	DH8
4C	EOH	APO		0	DH8
4C	EOH	BGA		0	DH8
4C	EOH	IBE		0	DH8
4C	EOH	MTR		0	DH8
4C	EOH	PEI		0	DH8
4C	EOH	UIB		0	DH8
4C	EYP	BGA		0	DH8
4C	EYP	BOG		0	DH8
4C	FLA	BOG		0	DH8
4C	FLA	NVA		0	DH8
4C	IBE	BOG		0	DH8
4C	IBE	EOH		0	DH8
4C	LET	BOG		0	DH8
4C	MAR	BOG		0	DH8
4C	MAR	CTG		0	DH8
4C	MDE	BOG		0	737
4C	MTR	BAQ		0	DH8
4C	MTR	BOG		0	DH8
4C	MTR	CTG		0	DH8
4C	MTR	EOH		0	DH8
4C	MZL	BOG		0	DH8
4C	NVA	BOG		0	DH8
4C	NVA	FLA		0	DH8
4C	NVA	PUU		0	DH8
4C	PEI	BOG		0	DH8
4C	PEI	CLO		0	DH8
4C	PEI	EOH		0	DH8
4C	PEI	PTY		0	DH8
4C	PPN	BOG		0	DH8
4C	PTY	CTG		0	DH8
4C	PTY	PEI		0	DH8
4C	PUU	NVA		0	DH8
4C	SMR	BOG		0	DH8
4C	UIB	BOG		0	DH8
4C	UIB	EOH		0	DH8
4C	VUP	BAQ		0	DH8
4C	VVC	BOG		0	DH8
4D	CAI	TLV		0	735
4D	TLV	CAI		0	735
4E	MCG	NIB		0	PAG
4E	MCG	TCT		0	PAG
4E	NIB	MCG		0	PAG
4E	TCT	TLJ		0	PAG
4E	TLJ	MCG		0	PAG
4G	AER	VKO		0	YK4
4G	EGO	NUX		0	TU5
4G	EYK	VKO		0	YK4
4G	KUF	NUX		0	YK4
4G	KUF	TJM		0	YK4
4G	KUF	VKO		0	YK4
4G	LED	VKO		0	YK4
4G	NCU	VKO		0	YK4
4G	NUX	EGO		0	TU5
4G	NUX	KUF		0	YK4
4G	NUX	VKO		0	YK4
4G	NYM	OVS		0	YK4
4G	NYM	VKO		0	TU5 YK4
4G	OVS	NYM		0	YK4
4G	OVS	VKO		0	YK4
4G	TJM	KUF		0	YK4
4G	ULY	VKO		0	YK4
4G	VKO	AER		0	YK4
4G	VKO	EYK		0	YK4
4G	VKO	LED		0	YK4
4G	VKO	NCU		0	YK4
4G	VKO	NUX		0	YK4
4G	VKO	NYM		0	TU5 YK4
4G	VKO	OVS		0	YK4
4G	VKO	ULY		0	YK4
4H	CCU	CGP		0	DH8
4H	CCU	DAC		0	DH8
4H	CGP	CCU		0	DH8
4H	CGP	DAC		0	DH8
4H	CXB	DAC		0	DH8
4H	DAC	CCU		0	DH8
4H	DAC	CGP		0	DH8
4H	DAC	CXB		0	DH8
4H	DAC	JSR		0	DH8
4H	DAC	ZYL		0	DH8
4H	JSR	DAC		0	DH8
4H	ZYL	DAC		0	DH8
4K	YGZ	YRB		0	DHT
4K	YRB	YGZ		0	DHT
4L	DOK	TBS		0	YK4
4L	GYD	TBS		0	YK4
4L	SCO	TBS		0	YK4
4L	TBS	DOK		0	YK4
4L	TBS	GYD		0	YK4
4L	TBS	SCO		0	YK4
