"  119" "Comox Airport" "Comox" "Canada" "YQQ" "CYQQ" " 49.7108002" "-124.887001" "   84" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"  120" "Regina International Airport" "Regina" "Canada" "YQR" "CYQR" " 50.4319000" "-104.666000" " 1894" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"  121" "Thunder Bay Airport" "Thunder Bay" "Canada" "YQT" "CYQT" " 48.3718987" " -89.323898" "  653" " -5.00" "A" "airport" "OurAirports" "America/Thunder_Bay"
"  122" "Grande Prairie Airport" "Grande Prairie" "Canada" "YQU" "CYQU" " 55.1796989" "-118.885002" " 2195" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  123" "Yorkton Municipal Airport" "Yorkton" "Canada" "YQV" "CYQV" " 51.2647018" "-102.461998" " 1635" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"  124" "North Battleford Airport" "North Battleford" "Canada" "YQW" "CYQW" " 52.7691994" "-108.244003" " 1799" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"  125" "Gander International Airport" "Gander" "Canada" "YQX" "CYQX" " 48.9369011" " -54.568100" "  496" " -3.50" "A" "airport" "OurAirports" "America/St_Johns"
"  126" "Sydney / J.A. Douglas McCurdy Airport" "Sydney" "Canada" "YQY" "CYQY" " 46.1613998" " -60.047798" "  203" " -4.00" "A" "airport" "OurAirports" "America/Glace_Bay"
"  127" "Quesnel Airport" "Quesnel" "Canada" "YQZ" "CYQZ" " 53.0261002" "-122.510002" " 1789" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"  128" "Resolute Bay Airport" "Resolute" "Canada" "YRB" "CYRB" " 74.7169037" " -94.969398" "  215" " -6.00" "A" "airport" "OurAirports" "America/Resolute"
"  129" "Rivière-du-Loup Airport" "Riviere Du Loup" "Canada" "YRI" "CYRI" " 47.7644005" " -69.584702" "  427" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  130" "Roberval Airport" "Roberval" "Canada" "YRJ" "CYRJ" " 48.5200005" " -72.265602" "  586" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  131" "Rocky Mountain House Airport" "Rocky Mountain House" "Canada" "YRM" "CYRM" " 52.4296989" "-114.903999" " 3244" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  132" "Rankin Inlet Airport" "Rankin Inlet" "Canada" "YRT" "CYRT" " 62.8114014" " -92.115799" "   94" " -6.00" "A" "airport" "OurAirports" "America/Rankin_Inlet"
"  133" "Sudbury Airport" "Sudbury" "Canada" "YSB" "CYSB" " 46.6250000" " -80.798897" " 1141" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  134" "Sherbrooke Airport" "Sherbrooke" "Canada" "YSC" "CYSC" " 45.4385986" " -71.691399" "  792" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  135" "Saint John Airport" "St. John" "Canada" "YSJ" "CYSJ" " 45.3161011" " -65.890297" "  357" " -4.00" "A" "airport" "OurAirports" "America/Moncton"
"  136" "Fort Smith Airport" "Fort Smith" "Canada" "YSM" "CYSM" " 60.0203018" "-111.961998" "  671" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"  137" "Nanisivik Airport" "Nanisivik" "Canada" "YSR" "CYSR" " 72.9822010" " -84.613602" " 2106" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
"  138" "Summerside Airport" "Summerside" "Canada" "YSU" "CYSU" " 46.4406013" " -63.833599" "   56" " -4.00" "A" "airport" "OurAirports" "America/Halifax"
"  139" "Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport" "Sachs Harbour" "Canada" "YSY" "CYSY" " 71.9938965" "-125.242996" "  282" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"  140" "Cape Dorset Airport" "Cape Dorset" "Canada" "YTE" "CYTE" " 64.2300034" " -76.526703" "  164" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
