# airline	from	to	codeshare	stops	equipment
# Date: 2011-01-20
3U	PEK	CKG		0	319 320
3U	PEK	CTU		0	320 321
3U	PEK	WXN		0	319
3U	PVG	CKG		0	320
3U	PVG	CTU		0	320 321
3U	PZI	CTU		0	319
3U	SHE	CTU		0	319
3U	SHE	TSN		0	320
3U	SHE	XUZ		0	ERJ
3U	SJW	CGO		0	ERJ
3U	SJW	CKG		0	ERJ
3U	SJW	CTU		0	319
3U	SJW	DSN		0	ERJ
3U	SJW	HRB		0	319
3U	SYX	CKG		0	320
3U	SYX	CTU		0	320
3U	SYX	KWE		0	320
3U	SYX	KWL		0	320
3U	SYX	TNA		0	320
3U	SYX	WNZ		0	320
3U	SZX	CKG		0	320
3U	SZX	CTU		0	320 319
3U	TAO	CTU		0	320
3U	TCZ	CKG		0	319
3U	TCZ	CTU		0	319
3U	THQ	XIY		0	ERJ
3U	TNA	CGQ		0	320
3U	TNA	CKG		0	320
3U	TNA	CTU		0	320
3U	TNA	DLC		0	320
3U	TNA	HRB		0	320
3U	TNA	LYI		0	320
3U	TNA	SYX		0	320
3U	TPE	KMG		0	319
3U	TSA	CKG		0	320
3U	TSA	CTU		0	321
3U	TSN	CGQ		0	ERJ
3U	TSN	CKG		0	ERJ
3U	TSN	CTU		0	320
3U	TSN	SHE		0	320
3U	TYN	CTU		0	320
3U	URC	CKG		0	320
3U	URC	CTU		0	319
3U	WNZ	CKG		0	320
3U	WNZ	CTU		0	320
3U	WNZ	HRB		0	320
3U	WNZ	KWE		0	320
3U	WNZ	SYX		0	320
3U	WUH	CKG		0	319
3U	WUH	CTU		0	320
3U	WUH	NTG		0	320
3U	WUX	CTU		0	320
3U	WXN	KMG		0	319
3U	WXN	PEK		0	319
3U	XIC	CTU		0	320
3U	XIY	CKG		0	320 ERJ
3U	XIY	CSX		0	319
3U	XIY	CTU		0	320 319
3U	XIY	THQ		0	ERJ
3U	XIY	XNN		0	319
3U	XMN	CSX		0	320
3U	XMN	CTU		0	320
3U	XNN	CKG		0	320
3U	XNN	CTU		0	320
3U	XNN	LXA		0	319
3U	XNN	XIY		0	319
3U	XUZ	CKG		0	ERJ
3U	XUZ	CTU		0	319
3U	XUZ	DLC		0	319
3U	XUZ	HRB		0	320
3U	XUZ	KMG		0	320
3U	XUZ	KWE		0	ERJ
3U	XUZ	SHE		0	ERJ
3U	YIH	CKG		0	320
3U	YIH	CTU		0	319
3Z	AET	FAI		0	PAG
3Z	AKP	AET		0	PAG
3Z	ARC	WBQ		0	PAG
3Z	BTT	AKP		0	PAG
3Z	EAA	FAI		0	PAG
3Z	FAI	BTT		0	PAG
3Z	FAI	EAA		0	PAG
3Z	FAI	FYU		0	PAG
3Z	FAI	LMA		0	PAG
3Z	FYU	VEE		0	PAG
3Z	VEE	ARC		0	PAG
3Z	WBQ	FAI		0	PAG
4C	ADZ	BOG		0	73W
4C	ADZ	CLO		0	73W
4C	APO	EOH		0	DH2
4C	AXM	BOG		0	DH2
4C	BAQ	BOG		0	73W
4C	BAQ	FLL		0	73W
4C	BGA	BOG		0	DH4 73W
4C	BGA	CUC		0	DH2
4C	BGA	EOH		0	DH2
4C	BGA	EYP		0	DH2
4C	BOG	ADZ		0	73W
4C	BOG	AXM		0	DH2
4C	BOG	BAQ		0	73W
4C	BOG	BGA		0	DH4 73W
4C	BOG	CLO		0	73W DH4
4C	BOG	CTG		0	73W
4C	BOG	CUC		0	DH4
4C	BOG	EYP		0	DH4 DH2
4C	BOG	FLA		0	DH2
4C	BOG	FLL		0	73W
4C	BOG	IBE		0	DH2
4C	BOG	JFK		0	73W
4C	BOG	LET		0	73W
4C	BOG	MDE		0	73W
4C	BOG	MTR		0	73W
4C	BOG	MZL		0	DH2
4C	BOG	NVA		0	DH2
4C	BOG	PEI		0	DH2 73W
4C	BOG	PPN		0	DH2
4C	BOG	SMR		0	73W
4C	BOG	UIB		0	DH2
4C	BOG	VUP		0	DH4
4C	BOG	VVC		0	DH2
4C	CLO	ADZ		0	73W
4C	CLO	BOG		0	73W DH4
4C	CLO	CTG		0	73W
4C	CTG	BOG		0	73W
4C	CTG	FLL		0	73W
4C	CTG	PEI		0	73W
4C	CUC	BGA		0	DH2
4C	CUC	BOG		0	DH4
4C	EOH	APO		0	DH2
4C	EOH	BGA		0	DH2
4C	EOH	IBE		0	DH2
4C	EOH	MTR		0	DH2
4C	EOH	PEI		0	DH2
4C	EOH	UIB		0	DH2
4C	EYP	BGA		0	DH2
4C	EYP	BOG		0	DH4 DH2
4C	FLA	BOG		0	DH2
4C	FLA	NVA		0	DH2
4C	FLL	BAQ		0	73W
4C	FLL	BOG		0	73W
4C	FLL	CLO		0	73W
4C	FLL	CTG		0	73W
4C	IBE	BOG		0	DH2
4C	IBE	EOH		0	DH2
4C	JFK	BOG		0	73W
4C	LET	BOG		0	73W
4C	MDE	BOG		0	73W
4C	MTR	BOG		0	73W
4C	MTR	EOH		0	DH2
4C	MZL	BOG		0	DH2
4C	NVA	BOG		0	DH2
4C	NVA	FLA		0	DH2
4C	NVA	PUU		0	DH2
4C	PEI	BOG		0	DH2 73W
4C	PEI	CTG		0	73W
4C	PEI	EOH		0	DH2
4C	PEI	PTY		0	DH2
4C	PPN	BOG		0	DH2
4C	PTY	PEI		0	DH2
4C	PUU	NVA		0	DH2
4C	SMR	BOG		0	73W
4C	UIB	BOG		0	DH2
4C	UIB	EOH		0	DH2
4C	VUP	BOG		0	DH4
4C	VVC	BOG		0	DH2
4D	CAI	TLV		0	735
4D	TLV	CAI		0	735
4E	MCG	NIB		0	PAG
4E	MCG	TCT		0	PAG
4E	TCT	TLJ		0	PAG
4E	TLJ	MCG		0	PAG
4G	AER	VKO		0	YK4
4G	EGO	NUX		0	TU5
4G	EYK	VKO		0	YK4
4G	KUF	NUX		0	YK4
4G	KUF	TJM		0	YK4
4G	KUF	VKO		0	YK4
4G	LED	VKO		0	YK4
4G	NCU	VKO		0	YK4
4G	NUX	EGO		0	TU5
4G	NUX	KUF		0	YK4
4G	NUX	VKO		0	YK4
4G	NYM	OVS		0	YK4
4G	NYM	VKO		0	YK4
4G	OVS	NYM		0	YK4
4G	OVS	VKO		0	YK4
4G	TJM	KUF		0	YK4
4G	UCT	VKO		0	YK4
4G	ULY	VKO		0	YK4
4G	VKO	AER		0	YK4
4G	VKO	EGO		0	TU5
4G	VKO	EYK		0	YK4
4G	VKO	KUF		0	YK4
4G	VKO	LED		0	YK4
4G	VKO	NCU		0	YK4
4G	VKO	NUX		0	YK4 TU5
4G	VKO	NYM		0	YK4
4G	VKO	OVS		0	YK4
4G	VKO	UCT		0	YK4
4G	VKO	ULY		0	YK4
4H	CCU	CGP		0	DH8
4H	CCU	DAC		0	DH8
4H	CGP	CCU		0	DH8
4H	CGP	DAC		0	DH8
4H	CXB	DAC		0	DH8
4H	DAC	CCU		0	DH8
4H	DAC	CGP		0	DH8
4H	DAC	CXB		0	DH8
4H	DAC	DXB		0	M83
4H	DAC	JSR		0	DH8
4H	DAC	KTM		0	M83
4H	DAC	KUL		0	M83
